satu,dua,tiga,empat,lima,label
0.329878709,0.119289787,0.329878709,0.277440757,0.289161588,1
0.217817531,0.25487984,0.358194657,0.358194657,0.358194657,1
0.306134597,0.300345078,0.094243739,0.195405214,0.246029053,1
0.324872354,0.283655052,0.341237542,0.1164854,0.279870706,1
0.275083116,0.275083116,0.275083116,0.231395931,0.264317792,1
0.422899813,0.140949597,0.539084827,0.404245331,0.30947454,1
0.275083116,0.275083116,0.275083116,0.231395931,0.264317792,1
0.239694043,0.374329576,0.205250714,0.106774965,0.25882533,1
0.206346384,0.238478324,0.254190949,0.261063525,0.258646419,1
0.282856556,0.295430642,0.190042412,0.38055714,0.293256444,1
0.461188136,0.361791627,0.461188136,0.120582659,0.438695264,1
0.25824354,0.239240063,0.281209731,0.281209731,0.277974604,1
0.208288414,0.365328271,0.336229134,0.217547652,0.139942425,1
0.282856556,0.295430642,0.190042412,0.38055714,0.293256444,1
0.216786132,0.380232877,0.349946558,0.226423128,0.145651774,1
0.7460723,0.234106195,0.623354163,0,0,1
0.232626855,0.402688944,0.310221537,0.310221537,0.081110798,1
0.581310384,0.215215799,0.472536366,0.261751036,0.569171482,1
0.297293984,0.696802039,0.652750492,0,0,1
1,0,0,0,0,1
0.119638693,0.457577785,0.457577785,0.3366426,0.419426982,1
0.356965864,0.28003162,0.327203636,0.093332611,0.292384061,1
0.206346384,0.238478324,0.254190949,0.261063525,0.258646419,1
0.623676162,0.163066922,0.382198666,0.458842127,0.19832622,1
0.408825563,0.356956925,0.429419827,0.146587448,0.352194632,1
0.136116515,0.205367015,0.599016341,0.188244426,0.205367015,1
0.539454045,0.294261216,0.294261216,0.255375439,0.218512806,1
0.282856556,0.295430642,0.190042412,0.38055714,0.293256444,1
0.301789673,0.262203991,0.109132311,0.301789673,0.253816791,1
0.22215281,0.208136073,0.237834092,0.198713813,0.285429836,1
0.376776327,0.389419842,0.38407208,0.145225793,0.368143515,1
0.22552435,0.298303497,0.235549793,0.151522708,0.287469849,1
0.282856556,0.295430642,0.190042412,0.38055714,0.293256444,1
0.27201271,0.198352274,0.219353211,0.189372924,0.27201271,1
0.176874006,0.218941992,0.252280081,0.187338411,0.231246089,1
0.132626612,0.482512718,0.373188357,0.380374899,0.482512718,1
0.384917561,0.375216431,0.136795029,0.392329974,0.396391563,1
0.540743715,0.148632366,0.505814194,0.326343133,0.568468835,1
0.319162298,0.299573668,0.461568191,0.439056783,0.423084685,1
0.301789673,0.262203991,0.109132311,0.301789673,0.253816791,1
0.275083116,0.275083116,0.275083116,0.231395931,0.264317792,1
0.330411239,0.374449477,0.23337826,0.1214074,0.402980964,1
0.353341203,0.365198305,0.360183168,0.347173366,0.136192889,1
0.312149894,0.278102814,0.288309548,0.37286336,0.305306799,1
0.22552435,0.298303497,0.235549793,0.151522708,0.287469849,1
0.17551146,0.230956536,0.262522717,0.243243974,0.152328548,1
0.601394349,0.5720634,0.1572411,0.535110773,0,1
0.288486199,0.408536976,0.288486199,0.241060274,0.262245683,1
0.22552435,0.298303497,0.235549793,0.151522708,0.287469849,1
0.256372009,0.250411065,0.225755641,0.222743752,0.092708506,1
0.392449304,0.26909497,0.26909497,0.070357809,0.239436266,1
0.129576721,0.364606491,0.157594568,0.908535047,0,1
0.316049005,0.174155107,0.372896672,0.224923968,0.181896986,1
0.287521512,0.181784161,0.094567259,0.301376103,0.296251855,1
0.275718235,0.234568155,0.259475416,0.308812116,0.093036841,1
0.250807473,0.214181578,0.300999471,0.261223253,0.151282154,1
0.563488651,0.222285828,0.573235352,0.551788711,0,1
0.375200736,0.205196404,0.214318191,0.137865001,0.381245786,1
0.49884833,0.107666952,0.227555778,0.114841168,0.080870561,1
0.298991681,0.283315701,0.315087103,0.292530673,0.270055177,1
0.22552435,0.298303497,0.235549793,0.151522708,0.287469849,1
0.419850332,0.338066175,0.441376983,0.115402817,0.404576931,1
